Player,Squad,Gls,Sh,SoT,Dist,xG,npxG,90s
Nicolò Cambiaghi,Bologna,1.0,9.0,2.0,17.2,0.4,0.4,4.2
Andrea Cambiaso,Juventus,2.0,14.0,5.0,23.0,0.6,0.6,21.7
Axel Camblan,Brest,0.0,1.0,0.0,16.0,0.0,0.0,0.3
Sergio Camello,Rayo Vallecano,3.0,32.0,9.0,16.3,4.1,4.1,12.6
Thomas Campaniello,Empoli,0.0,1.0,0.0,10.8,0.5,0.5,0.3
Cole Campbell,Dortmund,0.0,0.0,0.0,,0.0,0.0,0.2
Peio Canales,Athletic Club,0.0,3.0,0.0,21.5,0.2,0.2,2.1
Matteo Cancellieri,Parma,3.0,22.0,7.0,17.6,2.7,2.7,15.8
Sergi Canós,Valencia,0.0,10.0,3.0,19.0,0.5,0.5,4.0
Gianluca Caprari,Monza,2.0,20.0,6.0,23.1,2.8,1.2,14.1
Gabin Capuano,Lens,0.0,0.0,0.0,,0.0,0.0,0.1
Francesco Caputo,Empoli,0.0,0.0,0.0,,0.0,0.0,0.1
Simon Cara,Montpellier,0.0,0.0,0.0,,0.0,0.0,0.1
Valentin Carboni,Marseille,0.0,2.0,1.0,21.4,0.0,0.0,1.1
Irvin Cardona,Espanyol,1.0,10.0,3.0,17.3,1.1,1.1,6.7
Irvin Cardona,Saint-Étienne,4.0,12.0,7.0,16.4,2.6,1.8,7.6
Marc Cardona,Las Palmas,0.0,4.0,0.0,15.0,0.4,0.4,1.2
Fabio Carvalho,Brentford,2.0,12.0,5.0,14.7,2.5,2.5,5.1
Cesare Casadei,Torino,1.0,10.0,5.0,12.3,0.8,0.8,7.8
Josué Casimir,Le Havre,3.0,24.0,8.0,16.0,2.7,2.7,18.2
Federico Cassa,Atalanta,0.0,0.0,0.0,,0.0,0.0,0.2
Valentín Castellanos,Lazio,10.0,88.0,31.0,16.9,12.4,10.2,21.5
Santiago Castro,Bologna,8.0,56.0,20.0,15.6,7.0,6.2,23.8
Gaetano Castrovilli,Lazio,0.0,2.0,0.0,19.0,0.1,0.1,1.6
Abdoulie Ceesay,St. Pauli,0.0,0.0,0.0,,0.0,0.0,0.7
Alberto Cerri,Como,0.0,4.0,1.0,11.2,1.0,1.0,1.0
Franco Cervi,Celta Vigo,0.0,0.0,0.0,,0.0,0.0,2.9
Fares Chaïbi,Eint Frankfurt,1.0,23.0,6.0,18.3,2.4,2.4,10.0
Conor Chaplin,Ipswich Town,1.0,12.0,3.0,18.3,1.2,1.2,6.9
Gabriel Charpentier,Parma,1.0,9.0,4.0,17.6,1.3,1.3,3.0
Pep Chavarría,Rayo Vallecano,0.0,8.0,1.0,15.4,1.1,1.1,24.4
Walid Cheddira,Napoli,0.0,0.0,0.0,,0.0,0.0,0.1
Walid Cheddira,Espanyol,1.0,10.0,3.0,12.9,0.9,0.9,6.8
Sidiki Cherif,Angers,0.0,5.0,2.0,23.4,0.7,0.7,3.6
Rayan Cherki,Lyon,8.0,35.0,15.0,16.5,4.6,4.6,19.5
Youssef Chermiti,Everton,0.0,2.0,1.0,12.7,0.1,0.1,0.2
Federico Chiesa,Liverpool,0.0,4.0,2.0,20.1,0.2,0.2,0.4
Chiquinho,Mallorca,0.0,4.0,2.0,15.4,0.3,0.3,1.6
Samuel Chukwueze,Milan,3.0,31.0,8.0,19.7,2.5,2.5,9.5
Alphadjo Cissè,Hellas Verona,0.0,2.0,2.0,26.5,0.0,0.0,0.1
Jack Clarke,Ipswich Town,0.0,14.0,2.0,19.4,1.0,1.0,11.0
Alexis Claude-Maurice,Augsburg,9.0,45.0,19.0,20.3,3.8,3.8,20.1
Lorenzo Colombo,Empoli,5.0,51.0,17.0,18.1,5.7,4.9,23.1
Andrea Colpani,Fiorentina,2.0,36.0,12.0,18.5,2.7,2.7,15.7
Florinel Coman,Cagliari,1.0,4.0,1.0,19.9,0.2,0.2,2.8
Kingsley Coman,Bayern Munich,5.0,39.0,16.0,16.6,3.8,3.8,12.3
Francisco Conceição,Juventus,3.0,33.0,12.0,17.9,1.8,1.8,12.4
Tomás Conechny,Alavés,1.0,21.0,9.0,17.9,2.4,2.4,8.8
Sirlord Conteh,Heidenheim,1.0,13.0,5.0,15.0,2.1,2.1,9.1
Francis Coquelin,Nantes,0.0,2.0,0.0,13.6,0.5,0.5,0.7
Maxwel Cornet,Southampton,0.0,1.0,0.0,18.8,0.2,0.2,0.8
Maxwel Cornet,Genoa,2.0,5.0,3.0,12.3,1.0,1.0,2.6
Ángel Correa,Atlético Madrid,3.0,30.0,12.0,13.6,4.2,4.2,7.9
Joaquín Correa,Inter,1.0,7.0,2.0,13.8,0.9,0.9,4.6
Coba da Costa,Getafe,1.0,20.0,7.0,17.8,1.1,1.1,9.9
David Costa,Lens,0.0,9.0,2.0,18.0,1.2,1.2,3.9
Lasso Coulibaly,Auxerre,1.0,2.0,1.0,11.8,0.2,0.2,0.4
Tanguy Coulibaly,Montpellier,2.0,23.0,10.0,16.4,2.7,2.7,11.8
Yan Couto,Dortmund,0.0,6.0,2.0,21.3,0.3,0.3,9.7
Juan Cruz,Leganés,4.0,30.0,12.0,21.5,1.7,1.7,22.4
Cucho,Betis,3.0,29.0,7.0,16.0,2.9,2.9,8.8
Matheus Cunha,Wolves,14.0,89.0,37.0,20.7,7.3,7.3,25.0
Patrick Cutrone,Como,6.0,58.0,22.0,15.8,6.0,5.2,20.3
Tomáš Čvančara,Gladbach,1.0,20.0,7.0,14.4,3.0,3.0,7.6
Patson Daka,Leicester City,1.0,15.0,4.0,14.8,1.3,1.3,7.2
Thijs Dallinga,Bologna,2.0,27.0,8.0,11.4,3.7,3.7,9.7
Mikkel Damsgaard,Brentford,2.0,31.0,7.0,17.1,2.6,2.6,27.7
Maat Daniel Caprini,Fiorentina,0.0,0.0,0.0,,0.0,0.0,0.1
Danilo,Nott'ham Forest,0.0,0.0,0.0,,0.0,0.0,3.0
Arnaut Danjuma,Villarreal,2.0,6.0,3.0,13.9,0.8,0.8,2.2
Arnaut Danjuma,Girona,2.0,30.0,14.0,16.0,3.6,3.6,14.6
Pape Daouda Diongue,Strasbourg,1.0,5.0,2.0,11.5,1.0,1.0,0.9
Mohamed Daramy,Reims,0.0,1.0,0.0,16.7,0.0,0.0,0.2
Sergi Darder,Mallorca,1.0,30.0,7.0,24.0,1.8,1.8,25.7
Lukas Daschner,Bochum,1.0,8.0,4.0,15.8,2.7,1.9,4.6
