Player,Squad,Gls,Sh,SoT,Dist,xG,npxG,90s
Valentín Barco,Sevilla,0.0,7.0,0.0,27.8,0.3,0.3,3.2
Bradley Barcola,Paris S-G,13.0,66.0,32.0,13.2,12.2,12.2,20.4
Kike Barja,Osasuna,0.0,4.0,1.0,18.8,0.2,0.2,2.9
Harvey Barnes,Newcastle Utd,8.0,45.0,15.0,14.2,5.8,5.8,13.0
Ander Barrenetxea,Real Sociedad,1.0,21.0,7.0,15.2,1.5,1.5,11.9
Thierno Barry,Villarreal,10.0,57.0,19.0,11.8,10.9,10.1,20.8
Michy Batshuayi,Eint Frankfurt,2.0,3.0,2.0,9.2,0.8,0.8,2.3
Christoph Baumgartner,RB Leipzig,2.0,33.0,13.0,14.1,3.9,3.9,15.3
Adrian Beck,Heidenheim,2.0,29.0,8.0,18.1,2.4,2.4,13.4
Sheraldo Becker,Real Sociedad,2.0,22.0,13.0,19.1,2.0,2.0,10.8
Kevin Behrens,Wolfsburg,1.0,8.0,3.0,10.6,2.3,2.3,1.7
Maximilian Beier,Dortmund,8.0,42.0,13.0,12.6,7.7,7.7,17.3
Jean-Ricner Bellegarde,Wolves,2.0,20.0,5.0,21.7,1.3,1.3,16.4
Andrea Belotti,Como,2.0,19.0,3.0,12.7,2.5,2.5,6.6
Lucas Beltrán,Fiorentina,4.0,22.0,5.0,16.6,5.1,2.7,17.8
Eliesse Ben Seghir,Monaco,6.0,53.0,19.0,21.3,5.2,3.7,17.5
Adrian Benedyczak,Parma,0.0,3.0,0.0,18.4,0.3,0.3,2.2
László Bénes,Union Berlin,1.0,14.0,6.0,23.6,0.7,0.7,5.4
Iker Benito,Osasuna,0.0,0.0,0.0,,0.0,0.0,0.4
Saïd Benrahma,Lyon,1.0,17.0,4.0,20.2,2.0,2.0,8.2
Nabil Bentaleb,Lille,1.0,2.0,1.0,13.2,0.6,0.6,1.7
Álex Berenguer,Athletic Club,5.0,45.0,16.0,18.3,6.2,5.4,20.6
Mergim Berisha,Hoffenheim,1.0,11.0,3.0,16.0,1.0,1.0,3.7
Mergim Berisha,Augsburg,0.0,1.0,1.0,15.8,0.1,0.1,0.1
Juan Bernat,Getafe,0.0,3.0,0.0,18.8,0.1,0.1,5.3
Jan-Niklas Beste,Freiburg,0.0,5.0,2.0,16.9,0.9,0.9,1.8
Beto,Everton,6.0,33.0,17.0,13.3,6.1,6.1,12.2
Mika Biereth,Monaco,12.0,36.0,18.0,11.8,9.9,8.4,10.7
El Bilal Touré,Stuttgart,2.0,14.0,4.0,15.2,1.6,1.6,4.0
Tom Bischof,Hoffenheim,5.0,43.0,15.0,23.2,1.7,1.7,24.8
Ludovic Blas,Rennes,6.0,50.0,24.0,16.7,4.7,4.7,22.2
Myron Boadu,Bochum,7.0,20.0,9.0,11.9,5.6,4.8,7.5
Augustine Boakye,Saint-Étienne,3.0,24.0,9.0,20.8,1.8,1.8,8.1
Oscar Bobb,Manchester City,0.0,0.0,0.0,,0.0,0.0,0.2
Jeremie Boga,Nice,1.0,27.0,14.0,16.6,2.2,2.2,10.6
Victor Boniface,Leverkusen,8.0,50.0,17.0,14.5,7.8,7.1,11.2
Ange-Yoan Bonny,Parma,6.0,53.0,15.0,16.7,8.7,6.4,22.8
Saïmon Bouabré,Monaco,0.0,0.0,0.0,,0.0,0.0,0.8
Badredine Bouanani,Nice,2.0,24.0,10.0,20.1,1.4,1.4,8.0
Edoardo Bove,Fiorentina,1.0,7.0,2.0,14.6,0.6,0.6,9.5
Jarrod Bowen,West Ham,8.0,71.0,29.0,17.8,7.2,6.5,27.3
Iker Bravo,Udinese,2.0,11.0,3.0,16.7,0.8,0.8,6.2
Brenner,Udinese,1.0,7.0,4.0,19.8,0.6,0.6,4.3
Ben Brereton,Southampton,0.0,11.0,1.0,17.3,0.9,0.9,5.0
Maximilian Breunig,Heidenheim,2.0,10.0,2.0,15.2,3.4,2.7,3.9
Nathan Broadhead,Ipswich Town,1.0,10.0,6.0,15.4,1.5,1.5,6.7
Armando Broja,Everton,0.0,4.0,0.0,17.3,0.1,0.1,3.0
David Brooks,Bournemouth,2.0,22.0,10.0,16.8,2.2,2.2,8.8
Moritz Broschinski,Bochum,1.0,36.0,11.0,17.2,4.1,4.1,14.3
Jacob Bruun Larsen,Hoffenheim,2.0,14.0,6.0,15.2,2.3,2.3,4.4
Jacob Bruun Larsen,Stuttgart,1.0,3.0,2.0,19.5,0.3,0.3,4.2
Tajon Buchanan,Inter,0.0,0.0,0.0,,0.0,0.0,1.1
Ante Budimir,Osasuna,16.0,68.0,20.0,13.3,14.9,9.6,26.4
Emi Buendía,Aston Villa,0.0,5.0,0.0,19.1,0.7,0.7,1.1
Emi Buendía,Leverkusen,1.0,5.0,3.0,16.6,0.8,0.8,1.5
Endika Buján,Athletic Club,0.0,0.0,0.0,,0.0,0.0,0.1
Marius Bülter,Hoffenheim,4.0,27.0,12.0,15.5,3.1,3.1,14.9
Facundo Buonanotte,Leicester City,4.0,31.0,10.0,17.8,3.6,3.6,15.5
Jonathan Burkardt,Mainz 05,15.0,51.0,22.0,13.3,12.3,11.5,18.5
Oliver Burke,Werder Bremen,5.0,27.0,9.0,13.3,3.5,3.5,7.2
Rareș-Cătălin Burnete,Lecce,0.0,1.0,0.0,16.0,0.1,0.1,0.2
Wes Burns,Ipswich Town,0.0,7.0,1.0,18.3,0.5,0.5,10.3
Pau Cabanes,Villarreal,1.0,4.0,2.0,14.2,0.5,0.5,1.8
Pau Cabanes,Alavés,0.0,2.0,1.0,26.6,0.0,0.0,2.0
Rémy Cabella,Lille,0.0,25.0,6.0,15.6,2.7,2.7,10.0
Mathieu Cafaro,Saint-Étienne,1.0,23.0,10.0,20.3,1.5,1.5,8.1
Dominic Calvert-Lewin,Everton,3.0,46.0,17.0,12.3,6.1,6.1,17.5
Drissa Camara,Parma,0.0,15.0,5.0,19.8,1.2,1.2,4.4
Mahdi Camara,Brest,5.0,43.0,17.0,16.5,3.3,3.3,24.9
Francesco Camarda,Milan,0.0,5.0,1.0,13.8,0.4,0.4,1.8
Nicolò Cambiaghi,Bologna,1.0,8.0,2.0,18.3,0.3,0.3,4.1
Andrea Cambiaso,Juventus,2.0,13.0,5.0,23.6,0.5,0.5,20.7
Axel Camblan,Brest,0.0,1.0,0.0,16.0,0.0,0.0,0.3
Sergio Camello,Rayo Vallecano,3.0,32.0,9.0,16.3,4.1,4.1,12.6
Thomas Campaniello,Empoli,0.0,1.0,0.0,10.8,0.5,0.5,0.3
Cole Campbell,Dortmund,0.0,0.0,0.0,,0.0,0.0,0.2
Peio Canales,Athletic Club,0.0,1.0,0.0,27.8,0.0,0.0,1.4
Matteo Cancellieri,Parma,3.0,22.0,7.0,17.6,2.7,2.7,15.8
Sergi Canós,Valencia,0.0,10.0,3.0,19.0,0.5,0.5,4.0
Gianluca Caprari,Monza,2.0,18.0,6.0,23.1,2.7,1.1,13.1
Gabin Capuano,Lens,0.0,0.0,0.0,,0.0,0.0,0.1
Francesco Caputo,Empoli,0.0,0.0,0.0,,0.0,0.0,0.1
Simon Cara,Montpellier,0.0,0.0,0.0,,0.0,0.0,0.1
Valentin Carboni,Marseille,0.0,2.0,1.0,21.4,0.0,0.0,1.1
Irvin Cardona,Espanyol,1.0,10.0,3.0,17.3,1.1,1.1,6.7
Irvin Cardona,Saint-Étienne,4.0,11.0,7.0,15.2,2.6,1.8,6.8
Marc Cardona,Las Palmas,0.0,2.0,0.0,15.6,0.2,0.2,1.2
Fabio Carvalho,Brentford,2.0,12.0,5.0,14.7,2.5,2.5,5.1
Josué Casimir,Le Havre,3.0,22.0,8.0,15.6,2.6,2.6,17.2
Federico Cassa,Atalanta,0.0,0.0,0.0,,0.0,0.0,0.2
Valentín Castellanos,Lazio,9.0,84.0,29.0,16.6,12.1,10.0,20.5
Santiago Castro,Bologna,8.0,56.0,20.0,15.6,7.0,6.2,23.7
Gaetano Castrovilli,Lazio,0.0,2.0,0.0,19.0,0.1,0.1,1.6
Abdoulie Ceesay,St. Pauli,0.0,0.0,0.0,,0.0,0.0,0.7
Alberto Cerri,Como,0.0,4.0,1.0,11.2,1.0,1.0,1.0
Franco Cervi,Celta Vigo,0.0,0.0,0.0,,0.0,0.0,2.9
Fares Chaïbi,Eint Frankfurt,1.0,23.0,6.0,18.3,2.4,2.4,9.5
Conor Chaplin,Ipswich Town,1.0,12.0,3.0,18.3,1.2,1.2,6.9
Gabriel Charpentier,Parma,1.0,9.0,4.0,17.6,1.3,1.3,3.0
Pep Chavarría,Rayo Vallecano,0.0,8.0,1.0,15.4,1.1,1.1,23.2
Walid Cheddira,Napoli,0.0,0.0,0.0,,0.0,0.0,0.1
Walid Cheddira,Espanyol,1.0,10.0,3.0,12.9,0.9,0.9,6.8
Sidiki Cherif,Angers,0.0,5.0,2.0,23.4,0.7,0.7,3.6
Rayan Cherki,Lyon,8.0,35.0,15.0,16.5,4.6,4.6,18.5
Youssef Chermiti,Everton,0.0,2.0,1.0,12.7,0.1,0.1,0.2
Federico Chiesa,Liverpool,0.0,4.0,2.0,20.1,0.2,0.2,0.4
Chiquinho,Mallorca,0.0,4.0,2.0,15.4,0.3,0.3,1.6
Samuel Chukwueze,Milan,3.0,31.0,8.0,19.7,2.5,2.5,9.4
Alphadjo Cissè,Hellas Verona,0.0,2.0,2.0,26.5,0.0,0.0,0.1
Jack Clarke,Ipswich Town,0.0,14.0,2.0,19.4,1.0,1.0,10.7
Alexis Claude-Maurice,Augsburg,9.0,42.0,18.0,20.6,3.5,3.5,19.1
Lorenzo Colombo,Empoli,5.0,49.0,16.0,18.0,5.5,4.8,21.9
Andrea Colpani,Fiorentina,2.0,36.0,12.0,18.5,2.7,2.7,15.7
Florinel Coman,Cagliari,1.0,4.0,1.0,19.9,0.2,0.2,2.5
Kingsley Coman,Bayern Munich,4.0,38.0,15.0,16.8,3.8,3.8,11.7
Francisco Conceição,Juventus,3.0,28.0,11.0,18.0,1.6,1.6,11.9
